artist_name,stage_name,country,artist_type,title,description,content_preview,url,image,published_at,source_name,source_url,source_country,news_type,relevance_score,relevance_reason,query_used,window_from,window_to
Dauda Kahutu Rarara,Dauda Kahutu Rarara,Nigeria,Music Artist,It’s fake – European-American University disowns musician Rarara’s degree,"The European-American University has disowned a purported honorary doctorate degree conferred on popular Hausa musician, Dauda Kahutu Rarara, describing","The European-American University has disowned a purported honorary doctorate degree conferred on popular Hausa musician, Dauda Kahutu Rarara, describing it as fake. The musician was awarded the degree on Saturday at a ceremony held at Nicon Luxury Hotel, Abuja, attended by dignitaries including the",https://dailypost.ng/2025/09/21/its-fake-european-american-university-disowns-musician-rararas-degree/,https://dailypost.ng/wp-content/uploads/2024/06/Rarara0A3.jpg,2025-09-21T06:28:32+00:00,dailypost.ng,https://dailypost.ng,ng,Update,4,name in title; keyword: hausa; trusted source: dailypost.ng,"""Dauda Kahutu Rarara"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Dauda Kahutu Rarara,Dauda Kahutu Rarara,Nigeria,Music Artist,Nigeriens know Tchiani is nothing but kidnapper - Rarara calls for release of Bazoum,"“When I started this campaign, some thought I was insignificant, but now they see the results,” Rarara said","Dauda Kahutu, widely known as Rarara, a praise singer for Nigeria’s ruling All Progressives Congress (APC), has called out the leader of Niger Republic’s military junta, General Abdourahamane Tchiani, labeling him a “kidnapper” and demanding the immediate release of the ousted President Mohamed Bazo",https://dailypost.ng/2025/01/10/nigeriens-know-tchiani-is-nothing-but-kidnapper-rarara-calls-for-release-of-bazoum/,https://dailypost.ng/wp-content/uploads/2024/06/Rarara0A3.jpg,2025-01-10T18:22:44+00:00,dailypost.ng,https://dailypost.ng,ng,Update,4,name in title; keyword: release; trusted source: dailypost.ng,"""Dauda Kahutu Rarara"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Dauda Kahutu Rarara,Dauda Kahutu Rarara,Nigeria,Music Artist,Singer Rarara’s mum regains freedom 3 weeks after abduction,"Halima Adamu, the mother of famous Hausa singer, Dauda Kahutu, popularly known as Rarara, has been released after nearly three weeks in captivity. Halima","Halima Adamu, the mother of famous Hausa singer, Dauda Kahutu, popularly known as Rarara, has been released after nearly three weeks in captivity. Halima was reportedly kidnapped at her residence in Kahutu village of Danja LGA in Katsina, on June 28, 2024. Updating the public in a post on his Instag",https://dailypost.ng/2024/07/17/singer-rararas-mum-regains-freedom-3-weeks-after-abduction/,https://dailypost.ng/wp-content/uploads/2024/07/Rarara.jpg,2024-07-17T17:09:03+00:00,dailypost.ng,https://dailypost.ng,ng,Artist,4,name in title; keyword: release; trusted source: dailypost.ng,"""Dauda Kahutu Rarara"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Dauda Kahutu Rarara,Dauda Kahutu Rarara,Nigeria,Music Artist,"Singer Rarara&#039;s mum, Halima regains freedom three weeks after abduction","Halima Adamu, the mother of renowned Hausa singer Dauda Kahutu, popularly known as Rarara, has been freed after nearly three weeks in captivity. Recall","Halima Adamu, the mother of renowned Hausa singer Dauda Kahutu, popularly known as Rarara, has been freed after nearly three weeks in captivity. Recall that on June 28, Halima was abducted from her residence in Kahutu village, Danja LGA, Katsina State. Early Wednesday morning, Rarara announced her r",https://dailypost.ng/2024/07/17/singer-rararas-mum-halima-regains-freedom-three-weeks-after-abduction/,https://dailypost.ng/wp-content/uploads/2024/07/Rarara.jpg,2024-07-17T11:45:00+00:00,dailypost.ng,https://dailypost.ng,ng,Artist,4,name in title; keyword: hausa; trusted source: dailypost.ng,"""Dauda Kahutu Rarara"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Dauda Kahutu Rarara,Dauda Kahutu Rarara,Nigeria,Music Artist,"Gunmen abduct popular Hausa singer, Rarara’s 75-year-old mother","The Police Command in Katsina State has confirmed the abduction of a 75-year-old, Hauwa’u Adamu, mother of the renowned Hausa singer, Dauda Kahutu Rarara.","The Police Command in Katsina State has confirmed the abduction of a 75-year-old, Hauwa’u Adamu, mother of the renowned Hausa singer, Dauda Kahutu Rarara. A statement issued by the Command’s spokesperson, ASP Abubakar Aliyu, said the elderly woman was kidnapped at her residence in Kahutu, Danja Loca",https://dailypost.ng/2024/06/28/gunmen-abduct-popular-hausa-singer-rararas-75-year-old-mother/,https://dailypost.ng/wp-content/uploads/2024/06/Rarara0A3.jpg,2024-06-28T16:44:10+00:00,dailypost.ng,https://dailypost.ng,ng,Artist,4,name in title; keyword: hausa; trusted source: dailypost.ng,"""Dauda Kahutu Rarara"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Umar M Sharif,Umar M Sharif,Nigeria,Music Artist,"Kano govt commences fresh legal action against blasphemous singer, Yahaya Sharif","The Kano State Government has said that it will continue to pursue legal action against the alleged blasphemous singer, Yahaya Sharif, whose death","The Kano State Government has said that it will continue to pursue legal action against the alleged blasphemous singer, Yahaya Sharif, whose death sentence by an Upper Sharia Court was quashed due to an error in judgment. The Court of Appeal presided over by Justice Nuradeen Sagir who is the State C",https://dailypost.ng/2021/01/22/kano-govt-commences-fresh-legal-action-against-blasphemous-singer-yahaya-sharif/,https://dailypost.ng/wp-content/uploads/2020/08/Yahaya-Sharif-Aminu.jpg,2021-01-22T09:56:42+00:00,dailypost.ng,https://dailypost.ng,ng,Artist,4,name in title; keyword: singer; trusted source: dailypost.ng,"""Umar M Sharif"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Umar M Sharif,Umar M Sharif,Nigeria,Music Artist,Sharif Yahya Aminu: &#039;I&#039;m ready to sign death warrant against singer for blasphemy&#039; - Ganduje,"Governor Abdullahi Umar Ganduje of Kano State, has said he will sign the death warrant passed on a Kano-based singer, Sharif Yahya Aminu, for blasphemy.","Governor Abdullahi Umar Ganduje of Kano State, has said he will sign the death warrant passed on a Kano-based singer, Sharif Yahya Aminu, for blasphemy. Ganduje said he would okay his execution once his right of appeal elapses. However, Ganduje said that for now, the singer has the right to appeal t",https://dailypost.ng/2020/08/27/sharif-yahya-aminu-im-ready-to-sign-death-warrant-against-singer-for-blasphemy-ganduje/,https://dailypost.ng/wp-content/uploads/2020/08/Ganduje.jpeg,2020-08-27T18:56:39+00:00,dailypost.ng,https://dailypost.ng,ng,Artist,4,name in title; keyword: singer; trusted source: dailypost.ng,"""Umar M Sharif"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Burna Boy,Burna Boy,Nigeria,Music Artist,"Download Burna Boy Latest Songs MP3 (2026), Albums, Biography &amp; Updates","Download Burna Boy songs MP3, stream latest music 2026, explore albums, biography and news. Listen to official releases and trending hits.",No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result ← Back to All Artists Burna Boy Real Name: Damini Ebunoluwa Ogulu Alias Name: Od,https://tooxclusive.com/artists/burna-boy/,https://hub.tooxclusive.com/wp-content/uploads/2013/08/Burna-Boy-LIFE-Official-Artwork.jpg,,tooxclusive.com,https://tooxclusive.com,ng,Album,4,name in title; keyword: song; trusted source: tooxclusive.com,"""Burna Boy"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Burna Boy,Burna Boy,Nigeria,Music Artist,10 interesting facts about Burna Boy that you may not be aware of,"Burna Boy, originally born Damini Ebunoluwa Ogulu, has become a global phenomenon. He shatters records with seemingly effortless ease, from becoming the first",No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home Content 10 interesting facts about Burna Boy that you may not be aware of b,https://tooxclusive.com/editorial/10-interesting-facts-about-burna-boy-that-you-may-not-be-aware-of/,https://hub.tooxclusive.com/wp-content/uploads/2024/04/Burna-Boy-MSG-1.webp,2024-05-15T22:40:34+01:00,tooxclusive.com,https://tooxclusive.com,ng,Artist,4,name in title; keyword: record; trusted source: tooxclusive.com,"""Burna Boy"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
Burna Boy,Burna Boy,Nigeria,Music Artist,Burna Boy - Wonderful Video,Wonderful Video.... Under Spaceship Record and Atlantic Burna Boy releases his second 2020 single title “Wonderful“. This record produced by Telz is a prefect,"No Result View All Result Countries Nigeria South Africa Ghana Tanzania Kenya Zambia Congo United kingdom Stats News Music Culture Videos Artists Advertise Music Promo No Result View All Result No Result View All Result Home A-List Burna Boy &#8211; Wonderful Video by Tomiwa Feb 7, 2025 | 09:04 in A",https://tooxclusive.com/top-artists/burna-boy-wonderful-video/,https://hub.tooxclusive.com/wp-content/uploads/2020/07/Wonderful-video-cover.jpg,,tooxclusive.com,https://tooxclusive.com,ng,Music,4,name in title; keyword: release; trusted source: tooxclusive.com,"""Burna Boy"" (site:pulse.ng OR site:bellanaija.com OR site:notjustok.com OR site:tooxclusive.com OR site:dailypost.ng)",2025-06-03,2026-06-03
